city,x,y
Amsterdam,122096.8093,486744.861
Rotterdam,92438.4656,437716.0297
Den Haag,80506.945,454136.6846
Utrecht,136783.7257,455860.1394
Eindhoven,160735.8076,383614.7599
Groningen,233769.7049,582065.4167
Maastricht,176247.111,317995.5784
Arnhem,190137.0044,444201.7474
