city,x,y
Amsterdam,4.9041,52.3676
Rotterdam,4.4777,51.9244
Den Haag,4.3007,52.0705
Utrecht,5.1214,52.0907
Eindhoven,5.4697,51.4416
Groningen,6.5665,53.2194
Maastricht,5.6889,50.8514
Arnhem,5.8987,51.9851
